description,standard_id,current_date,new_date,notes
Part 7 Enforcement Policy,21 CFR Part 7,**,"May 11, 2026",
Part 11 Electronic Records; Electronic Signatures,21 CFR Part 11,**,"May 11, 2026",
Medical Devices. Part 801 Labeling,21 CFR Part 801,**,"May 11, 2026",
Medical Devices. Part 803 Medical Device Reporting,21 CFR Part 803,**,"May 11, 2026",
Medical Devices; Reports of Corrections and Removals,21 CFR Part 806,**,"May 11, 2026",
Establishment Registration and Device Listing for Manufacturers and Initial Importers of Devices,21 CFR Part 807,**,"May 11, 2026",
Medical Device Recall Authority,21 CFR Part 810,**,"May 11, 2026",
Medical Devices. Part 812 Investigational Device Exemptions,21 CFR Part 812,**,"May 11, 2026",
Medical Devices. Part 820 Quality System Regulation (QSR),21 CFR Part 820,**,"May 11, 2026",
Medical Devices. Part 830 Unique Device Identification,21 CFR Part 830,**,"May 11, 2026",
Medical Devices. Part 872 Dental Devices,21 CFR Part 872,**,"May 11, 2026",
"FDA Guidance Document, Deciding When to Submit a 510(k) for a Change to an Existing Device",FDA Guidance 1500054,October 2017,"October 1, 2017",
Health Insurance Portability and Accountability Act of 1996,HIPAA,21-AUG-1996,"January 25, 2013",
Requests for Feedback and Meetings for Medical Device Submissions: The Q-Submission Program,FDA Guidance 1677,May 2025,May 2025,
eCopy Program for Medical Device Submissions,FDA Guidance 1797-R2,April 2020,December 2025,
Refuse to Accept Policy for 510(k)s,FDA Guidance 1793,April 2022,April 2022,
Questions and Answers about eMDR - Electronic Medical Device Reporting,FDA Guidance 1679,February 2014,February 2014,
Recommended Content and Format of Non-Clinical Bench Performance Testing Information in Premarket Submissions,FDA Guidance 18011,December 2019,April 2019,
Significant Risk and Nonsignificant Risk Medical Device Studies,FDA Guidance 126418,January 2006,January 2006,
The Special 510(k) Program,FDA Guidance 18008,September 2019,September 2019,
Medical Device User Fee Small Business Qualification and Certification,FDA Guidance GUD18007,July 2025,July 2025,
Format for Traditional and Abbreviated 510(k)s,FDA Guidance 1567,September 2019,September 2019,
Appropriate Use of Voluntary Consensus Standards in Premarket Submissions for Medical Devices,FDA Guidance 17019,September 2018,September 2018,
Medical Devices - Quality Management Systems - Requirements for Regulatory Purposes,ISO 13485,2016,2016,
Medical Devices - Quality Management Systems - Requirements for Regulatory Purposes,EN ISO 13485,2016,2016,
Guidelines for Auditing Management Systems,ISO 19011,2018,2018,
Quality management systems -- Fundamentals and vocabulary,ISO 9000,2015,2015,
Medical Devices - Application of Risk Management to Medical Devices,EN ISO 14971,2019,2019,
Medical Devices - Guidance on The Application of ISO 14971,ISO/TR 24971,2020,2020,
Application of Usability Engineering to Medical Devices,EN 62366-1,2015/Amd 1:2020,2015/Amd 1:2020,
Applying Human Factors and Usability Engineering to Medical Devices,FDA Guidance CDRH 1757,February 2016,February 2016,
"Medical Devices- Symbols to be used with Medical Device Labels, Labelling and Information to be Supplier- Part 1: General Requirements",EN ISO 15223-1,2021,2021,Current consolidated version
"Medical Devices- Symbols to be used with Medical Device Labels, Labelling and Information to be Supplier- Part 1: General Requirements",ISO 15223-1,2021/Amd1:2025,2021/Amd1:2026,Current — Amd 1:2025 published but not yet harmonized
Medical devices ‚Äì information to be supplied by the manufacturer,EN ISO 20417,2021,2021,
Biological Evaluation of Medical Devices - Part 1: Evaluation and Testing within a Risk Management Process,EN ISO 10993-1,2020,2025,Outdated
Biological Evaluation of Medical Devices - Part 5: Tests for in vitro cytotoxicity,ISO 10993-5,2009,2009,
Biological Evaluation of Medical Devices--Part 10: Tests for Irritation and Skin Sensitization,EN ISO 10993-10,2023,2023,
Biological Evaluation of Medical Devices--Part 11: Tests for Systemic Toxicity,EN ISO 10993-11,2018,2018,"New version in draft (DIS), expected to replace 2017 edition soon"
Biological Evaluation of Medical Devices - Part 12: Sample Preparation and Reference Materials,EN ISO 10993-12,2021,2021,
"Use of International Standard ISO 10993-1, ""Biological evaluation of medical devices - Part 1: Evaluation and testing within a risk management process""",FDA Guidance Document 1811-R1,"September 8, 2023",September 2023,
Design Control Guidance for Medical Device Manufacturers,FDA Guidance Document,"March 11, 1997",March 1997,
Dentistry - Fluoride varnishes (RCS for Product Code LBH),ISO 17730,2020,2020,
Dentistry - Evaluation of biocompatibility of medical devices used in dentistry (RCS for Product Code LBH),ISO 7405,2025,2025,
Fluoride Varnishes (RCS for Product Code LBH),ANSI ADA 117,2022,2022,
Zero Acceptance Sampling Plans (C=0),ASQ E1607,6th Edition,6th Edition,
Standard practice for performance testing of shipping containers and systems,ASTM D4169,2023e1,2023el,
Standard Test Methods for Seal Strength of Flexible Barrier Materials,ASTM F88/F88M,2023,2023,
Standard Test Methods for Determining Integrity of Seals or Flexible Packaging by Visual Inspection,ASTM F1886/F1886M,2024,2025,
Packaged products 150 lb. (68 kg) or less,ISTA 2A,2012,2012,
